ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,ProductWeightKG,ShelfLifeDays,ABCClass,AnnualDemand,OrderingCostDefault
P001,LED Monitor,Monitors,LED Monitor,Lenovo,1496.02,1885.29,11.1,1750,B,40741,178.24
P002,RAM,Components,RAM,Logitech,108.1,134.95,9.11,1514,C,18031,744.42
P003,RAM,Components,RAM,Dell,925.96,1180.77,11.43,691,C,32696,406.23
P004,SSD,Storage,SSD,HP,1916.57,2494.35,5.82,1100,C,27541,643.35
P005,Ultrabook,Laptops,Ultrabook,Cisco,945.88,1140.89,1.37,965,A,46198,656.67
P006,Webcam,Accessories,Webcam,Asus,424.96,502.01,11.64,528,A,20256,879.84
P007,Motherboard,Components,Motherboard,Lenovo,934.15,1424.91,5.68,794,A,48920,340.28
P008,4K Monitor,Monitors,4K Monitor,Asus,1288.21,1791.08,2.62,1142,C,22691,990.57
P009,Access Point,Networking,Access Point,Dell,682.35,1020.62,3.59,430,C,25673,461.05
P010,LED Monitor,Monitors,LED Monitor,Samsung,1830.62,2572.44,3.35,1387,C,30928,896.21
P011,Rack Server,Servers,Rack Server,Logitech,566.52,714.37,8.18,1894,A,43311,485.59
P012,Motherboard,Components,Motherboard,Logitech,477.68,763.76,7.5,1912,C,8087,874.99
P013,NVMe Drive,Storage,NVMe Drive,Seagate,361.96,527.09,1.14,1146,C,44052,996.51
P014,Laser Printer,Printers,Laser Printer,Logitech,1376.55,1653.99,11.31,1939,B,47006,406.16
P015,Inkjet Printer,Printers,Inkjet Printer,Acer,358.41,412.69,14.58,1925,A,16708,556.91
P016,4K Monitor,Monitors,4K Monitor,Seagate,631.97,908.47,3.14,1130,A,15587,585.44
P017,Ultrabook,Laptops,Ultrabook,Samsung,682.1,790.39,13.21,994,B,20692,152.13
P018,LED Monitor,Monitors,LED Monitor,Logitech,1477.22,2241.25,11.53,627,C,48237,527.75
P019,External HDD,Storage,External HDD,Asus,1078.96,1535.32,13.95,1911,B,18182,741.65
P020,GPU,Components,GPU,Logitech,1317.26,1774.54,6.88,872,B,19725,157.62
P021,Ultrabook,Laptops,Ultrabook,Dell,1130.15,1598.93,1.25,1657,C,8858,306.05
P022,Business Laptop,Laptops,Business Laptop,Canon,188.17,236.55,3.37,635,A,42423,618.59
P023,Switch,Networking,Switch,HP,1624.62,2007.52,9.95,1090,B,32759,469.99
P024,Ultrabook,Laptops,Ultrabook,Dell,1324.24,1907.94,6.16,1059,B,12161,323.79
P025,Access Point,Networking,Access Point,Acer,924.8,1239.09,7.05,519,B,34041,827.22
P026,LED Monitor,Monitors,LED Monitor,Dell,1321.68,1841.45,14.54,1908,C,20491,249.68
P027,Tower Server,Servers,Tower Server,Dell,466.81,621.08,2.64,369,A,30586,338.68
P028,Tower Server,Servers,Tower Server,Logitech,874.86,1382.97,10,1361,C,15144,270.91
P029,Router,Networking,Router,Samsung,1179.4,1644.07,1.05,1561,C,36246,552.57
P030,SSD,Storage,SSD,Lenovo,1923.52,2281.39,1.21,504,A,49250,875.64
P031,RAM,Components,RAM,Seagate,1886.11,2652.54,9,1633,C,10372,477.3
P032,Mouse,Accessories,Mouse,Asus,448.31,660.04,4.13,633,A,49019,680.95
P033,Tower Server,Servers,Tower Server,Dell,1861.59,2924.71,6.98,1518,A,11552,165.93
P034,Access Point,Networking,Access Point,HP,567.14,890.39,13.21,1121,C,23676,241.97
P035,Laser Printer,Printers,Laser Printer,HP,1352.33,1892.68,14.1,640,C,22332,203.89
P036,4K Monitor,Monitors,4K Monitor,Seagate,1128.79,1436.45,3.32,1067,C,18342,718.75
P037,Inkjet Printer,Printers,Inkjet Printer,Dell,539.69,841.2,1.57,1232,B,23132,139.68
P038,Keyboard,Accessories,Keyboard,Canon,1292.37,1638.57,8.36,1240,A,41759,108.7
P039,4K Monitor,Monitors,4K Monitor,Samsung,1812.66,2529.6,8.82,668,C,33166,214.7
